SI,Title,Type,Authors,ISBN,Publication Year,Publisher,Category,Call No,Location,Subject,Series,Edition,Year,Description,Tags,Num Pages,Place
LLIHHIFA,"The George R. Hann Collection Part Two: Medieval and Renaissance Sculpture, Works of Art, Furniture, Arms and Armour, Textiles, Tapestries and Oriental Carpets and Works of Art",Books,0,,1980,"Christie, Manson, & Woods International Inc",,MEDIEVAL,,,,,1980,,,,
C9KAR7YH,Italian Drawings and Paintings in the Queen's Collection,Books,"Millar, Oliver",,1965,Viking Press,,RENAISSANCE,,,,,1965,,,,
FEUYPU3A,The Renaissance in Italy: Architecture - Sculpture - Frescoes,Books,"Decker, Heinrich",,1969,Viking Press,,RENAISSANCE,,,,,1969,,,,
HLP23RZY,Studies in iconology: humanistic themes in the art of the Renaissance,Books,"Panofsky, Erwin; Ralph Ellison Collection (Library of Congress)",,1962,Harper & Row,,RENAISSANCE,New York,"Art, Renaissance; Humanism","Harper torchbooks, TB1077. The Academy library",,1962,,,262,
W4AKIH92,The High Renaissance,Books,"Murray, Linda",,1967,"Frederick A, Praeger",,RENAISSANCE,,,,,1967,,,,
SNUZ64AK,The Great Age of Fresco: Giotto to Pontormo,Books,0,,1968,Metropolitan Museum of Art,,RENAISSANCE,,,,,1968,,,,
THBMRGGL,An Introduction to Italian Renaissance Painting,Books,"Gould, Cecil",,1957,Phaidon Publishers Inc,,RENAISSANCE,,,,,1957,,,,
3339Z2WB,Italian Painters of the Renaissance: 1. Venetian and North Italian Schools,Books,"Berenson, Bernard",,1968,Phaidon Press,,RENAISSANCE,,,,,1968,,,,
VMX2V954,Italian Painters of the Renaissance: 2. Florentine and Central Italian Schools,Books,"Berenson, Bernard",,1968,Phaidon Press,,RENAISSANCE,,,,,1968,,,,
MRVBTP38,Bronzes of the Italian Renaissance: Twenty-two Unpublished Statuettes,Books,Paul Rosenberg & Co,,1981,Paul Rosenberg & Co,,RENAISSANCE,,,,,1981,,,,
