SI,Title,Type,Authors,ISBN,ISBN13,Publication Year,Publisher,Category,Call No,Location,Subject,Series,Edition,Year,Description,Tags,Num Pages,Place
DB3J9EV4,"African majesty: from grassland and forest: the Barbara and Murray Frum Collection, May 22-July 12, 1981",Books,"Fagg, William Buller; Frum, Barbara; Frum, Murray; Art Gallery of Ontario",0-919876-73-0,,1981,Art Gallery of Ontario,,AFRICAN,Toronto,"Exhibitions; Art collections Exhibitions; Sculpture; Africa, West; Frum, Barbara; Frum, Murray",,,1981,,,152,
VR6AVK3V,Georg Baselitz: Portraits of Elke,Books,0,0-929865-16-2,,1997,Modern Art Museum of Fort Worth,,ARTIST-B,,0,,,1997,,,,
G6TWENP9,"Mermaids, mummies, and mastodons: the emergence of the American museum: [exhibition]",Books,0,0-931201-15-2,,1992,American Association of Museums,,Docent/Museum Education,"Washington, D.C","History; United States; Museums; Barnum, P. T; Peale family; Phineas Taylor",,,1992,,,104,
3WZMPHYD,Artists of the Commonwealth: realism and its response in Pennsylvania painting 1900-1950,Books,0,0-931241-30-8,,2006,Westmoreland Museum of American Art,,AMERICAN,"Greensburg, Pa","Exhibitions; Painting, American; Pennsylvania; Realism in art",,,2006,,,72,
PQHMMWWN,Painting in the United States 2008,Books,"Jones, Barbara L. and O'Toole",0-931241-36-7,,2008,Westmoreland Museum of American Art,,CATALOGUE,,0,,,2008,,,,
YYWAXJ8H,"Nigerian sculpture--bridges to power: Birmingham Museum of Art, April 15-June 3, 1984",Books,0,0-931394-12-0,,1984,Birmingham Museum of Art,,AFRICAN,"Birmingham, Ala","Exhibitions; Art and society; Nigeria; Sculpture, Nigerian",,,1984,,,64,
6WMZNCJA,Thomas Gainsborough and the modern woman,Books,0,0-931537-37-1,,2010,Giles,,ARTIST - G,London,"18th century; Art and society; Celebrities; Criticism and interpretation; Exhibitions; Gainsborough, Thomas; Great Britain; History; Portraits Exhibitions; Women; Women in art",,,2010,,,193,
XRW75NSV,Record of the Carnegie Institute's International Exhibitions 1896-1996,Books,"Falk, Peter Hastings",0-932087-55-8,,1998,Sound View Press,,CI CATALOG,,0,,,1998,,,,
JU9M63TW,Monotypes by Maurice Prendergast in the Terra Museum of American Art,Books,"Langdale, Cecily; Terra Museum of American Art",0-932171-00-1,,1984,Terra Museum of American Art,,ARTIST - P,Chicago,"Catalogs; Prendergast, Maurice; Terra Museum of American Art",,,1984,,,159,
3963QMN3,Praise poems: the Katherine White collection,Books,0,0-932216-15-3,,1984,Seattle Art Museum,,AFRICAN,"Seattle, Wash","Exhibitions; Art collections Exhibitions; Private collections Exhibitions; Sculpture; Sculpture, West African; Seattle Art Museum; Washington (State) Seattle; White, Katherine",,,1984,,,122,
X6JR6VK5,In pursuit of the dragon: traditions and transitions in Ming ceramics: an exhibition from the Idemitsu Museum of Arts,Books,0,0-932216-27-7,,1988,Seattle Art Museum,,CHINESE,"Seattle, Wash","Exhibitions; Idemitsu Bijutsukan; Ming-Qing dynasties, 1368-1912; Porcelain, Chinese; Pottery, Chinese; Song-Yuan dynasties, 960-1368",,,1988,,,160,
JBIM2G8F,"De Kooning, 1969-78",Books,"De Kooning, Willem; Cowart, Jack; Shaman, Sanford Sivitz; Contemporary Arts Center (Cincinnati, Ohio",0-932660-01-0,,1978,"Dept. of Art, University of Northern Iowa",,ARTIST - D,[Cedar Falls,"De Kooning, Willem; Exhibitions",,,1978,,,56,
3QZG8TYU,Ancient Etruscan and Greek vases in the Elvehjem Museum of Art,Books,0,0-932900-47-X,,2000,"Elvehjem Museum of Art, University of Wisconsin-Madison",,ANCIENT,"Madison, Wis","Catalogs; Vase-painting, Greek; Elvehjem Museum of Art; Vase-painting, Etruscan; Vases; Vases, Etruscan; Vases, Greek; Wisconsin Madison",,,2000,,,87,
PYTUDL4J,J.M.W. Turner,Books,"Weelen, Guy; Turner, J. M. W.",0-933516-51-7,,1982,Alpine Fine Arts Collection,,ARTIST - T OVERSIZE,New York,"Joseph Mallord William; Turner, J. M. W",,,1982,,,171,
NBLXTYKL,American masterpieces from the National Gallery of Art,Books,"Wilmerding, John",0-933920-10-5,,1980,Hudson Hills Press,,AMERICAN,New York,"Art; Washington (D.C.); Catalogs; National Gallery of Art (U.S.); Art, American",,1st ed,1980,,,180,
7G2KURAX,The great book of French impressionism,Books,"Keller, Horst",0-933920-11-3,,1980,Hudson Hills Press : trade distribution by Simon & Schuster,,IMPRESSIONISM-K,New York,"19th century; France; Impressionism (Art); Painting, French",,1st American ed,1980,,,272,
SC9U3WG9,"Mark Rothko, works on paper",Books,"Clearwater, Bonnie; Rothko, Mark; American Federation of Arts; Mark Rothko Foundation",0-933920-53-9,,1984,Published by Hudson Hills Press in association with the Mark Rothko Foundation and the American Federation of Arts : Distributed in the U.S. by Viking Penguin,,ARTIST - R,New York,"Exhibitions; Rothko, Mark",,1st ed,1984,,,144,
HGNXK2MM,"John Chamberlain: a catalogue raisonné of the sculpture, 1954-1985",Books,"Sylvester, Julie; Chamberlain, John; Museum of Contemporary Art (Los Angeles, Calif.)",0-933920-57-1,,1986,Hudson Hills Press,,Artist-C,New York,"Abstract expressionism; Catalogues raisonnés; Chamberlain, John; United States",,1st ed,1986,,,239,
7HZQC55R,"""Success is a job in New York-- "": the early art and business of Andy Warhol",Books,"Warhol, Andy; De Salvo, Donna M.; Carnegie Museum of Art; Grey Art Gallery & Study Center; Universit",0-934349-05-3,,1989,"Grey Art Gallery and Study Center, New York University ; Carnegie Museum of Art",,ARTIST - W,"[New York, N.Y.] : Pittsburgh, Pa","Exhibitions; Biography; United States; Artists; Warhol, Andy",,,1989,,,89,
UYN9T4EC,In the shadow of the Acropolis: popular and private art of 4th century Athens,Books,"Herrmann, John J.; Brockton Art Museum; Museum of Fine Arts, Boston",0-934358-13-3,,1984,Brockton Art Museum/Fuller Memorial,,ANCIENT - PERIODICAL,"Brockton, Mass","Exhibitions; Art, Ancient; Greece Athens; Art, Greek; Coins, Ancient; Department of Classical Art; Museum of Fine Arts, Boston",,,1984,,,87,
NS9W7ZTG,Julie Mehretu: drawing into painting,Books,"Mehretu, Julie; Fogle, Douglas; Walker Art Center",0-935640-74-6,,2003,Walker Art Center,,ARTIST - M,"Minneapolis, Minn","Exhibitions; Themes, motives; Mehretu, Julie",,1st ed,2003,,,16,
ZZS3LVVQ,Worlds away: new suburban landscapes,Books,0,0-935640-90-8,,2008,Walker Art Center,,ARCHITECTURE,Minneapolis,"Exhibitions; 20th century; Art, American; 21st century; Suburban life in art; Suburbs in art",,1st ed,2008,,,333,
CAIC5H8K,Bill Viola: survey of a decade,Books,"Viola, Bill; Boyle, Deirdre; Zeitlin, Marilyn; Contemporary Arts Museum",0-936080-18-3,,1988,Contemporary Arts Museum,,ARTIST - V,Houston,"Exhibitions; United States; Installations (Art); Video art; Viola, Bill",,,1988,,,64,
NZXDKHQF,"Brice Marden: work of the 1990s: paintings, drawings, and prints",Books,"Wylie, Charles; Marden, Brice; Dallas Museum of Art",0-936227-25-7,,1998,Dallas Museum of Art in association with Distributed Art Publishers,,Artist M,"Dallas, TX","Exhibitions; Marden, Brice",,,1998,,,79,
N2KAIG2S,Joslyn Art Museum: ancient Greek pottery,Books,0,0-936364-15-7,,1985,The Museum,,ANCIENT,"Omaha, Neb","Exhibitions; Greece; Joslyn Art Museum; Pottery, Ancient; Pottery, Greek",,,1985,,,94,
QRDW8J6R,"Rodin and America: influence and adapation, 1876-1936",Books,0,0-937031-36-4,,2011,"Iris & B. Gerald Cantor Center for Visual Arts, Stanford University ; Silvana Editoriale",,ARTIST - R,"Stanford, CA : Milano, Italy","19th century; Exhibitions; 20th century; United States; Rodin, Auguste; Appreciation; Art, American",,,2011,,,381,
3ZA76GCF,Dialogues: conversations with European artists at mid-century,Books,"Roditi, Edouard; Roditi, Edouard; Roditi, Edouard",0-938491-26-1,,1990,Bedford Arts,,MODERN,San Francisco,"20th century; Artists; Interviews; Europe; Art, European",,,1990,,,156,
87URGULF,"The Kiss of Apollo: photography & sculpture, 1845 to the present",Books,0,0-938491-66-0,,1991,Fraenkel Gallery in association with Bedford Arts Publishers,,PHOTOGRAPHY,San Francisco,Photography of sculpture,,1st ed,1991,,,105,
W7FJ5PMG,"Warren MacKenzie, potter: a retrospective",Books,0,0-938713-05-1,,1989,"University Art Museum, University of Minnesota",,Artist M,Minneapolis,"Exhibitions; Influence Exhibitions; MacKenzie, Warren",,,1989,,,128,
Y96FY988,"Drawings from Georgia collections, 19th & 20th century",Books,"Morrin, Peter; Zafran, Eric; High Museum of Art",0-939802-00-7,,1981,High Museum of Art,,MODERN,"Atlanta, Ga",Drawing; 19th century; Exhibitions; 20th century; Georgia,,,1981,,,214,
ST7JLNCI,"The Advent of modernism: post-impressionism and North American art, 1900-1918",Books,0,0-939802-24-4,,1986,High Museum of Art,,MODERN,Atlanta,"Exhibitions; Post-impressionism (Art); 20th century; Painting, American; United States; Canada; Painting, Canadian",,,1986,,,200,
WERBZDCF,"Sean Scully: Twenty Years, 1976-1995",Books,"Rifkin, Ned",0-939802-79-1,,1995,High Museum of Art,,ARTIST - S,,0,,,1995,,,,
3ZHP4KXD,From the Lands of the Scythians: Ancient Treasures from the Museum of the USSR 3000 B.C. -100 B.C,Books,0,0-942389-04-2,,,Metropolitan Museum of Art,,ANCIENT,,0,,,,,,,
C5G6YNUR,Drawings from the Holy Roman Empire 1540-1680: A Selection from North American Collections,Books,"Kaufmann, Thomas DeCosta",0-943012-02-3,,1982,"The Art Museum, Princeton University",,RENAISSANCE - BAROQUE,,0,,,1982,,,,
3QSBPHKB,Beyond Isabella: secular women patrons of art in Renaissance Italy,Books,0,0-943549-78-7,,2001,Truman State University Press,,RENAISSANCE,"Kirksville, Mo","Art, Renaissance; History; Italy; Art patronage; Art, Italian; Women art patrons",Sixteenth century essays & studies series,,2001,,,339,
UN8SI9Q3,Common ground/uncommon vision: the Michael and Julie Hall collection of American folk art in the Milwaukee Art Museum,Books,0,0-944110-33-9,,1993,The Museum,,AMERICAN,Milwaukee,"Exhibitions; United States; Art collections; Private collections; Wisconsin Madison; Folk art; Hall, Julie; Hall, Michael D; Milwaukee Art Museum",,,1993,,,335,
2IJ6NWD8,Arena: where would I have got if I had been intelligent!,Books,"Beuys, Joseph; Cooke, Lynne; Kelly, Karen; Dia Center for the Arts (New York, N.Y.)",0-944521-29-0,,1994,Dia Center for the Arts : Distributed Art Publishers,,ARTIST-B,New York,"Beuys, Joseph; Catalogs; Dia Center for the Arts (New York, N.Y.)",,,1994,,,294,
CAQ8M4E9,Africa explores: 20th century African art,Books,"Vogel, Susan Mullin; Center for African Art (New York, N.Y.)",0-945802-09-9,,1991,Center for African Art ; Prestel-Verlag ; Distributed in the U.S. of America and Canada by Neues Pub. Co,,AFRICAN,New York : Munich : New York City,"Exhibitions; 20th century; Art, African",,,1991,,,294,
BWPB9D3X,A mural by Thomas Wilmer Dewing: Commerce and Agriculture bringing wealth to Detroit,Books,"Van Hook, Bailey; Ira Spanierman Gallery",0-945936-19-2,,1998,"Spanierman Gallery, LLC",,ARTIST - D,New York,"20th century; Catalogs; Commerce and Agriculture bringing wealth to Detroit; Criticism and interpretation; Dewing, Thomas Wilmer; Michigan Detroit; Mural painting and decoration, American",,,1998,,,23,
T4VVAI86,"110 years of American art, 1830-1940: October 15-December 31, 2001",Books,0,0-945936-44-3,,2001,Spanierman Gallery,,AMERICAN,New York,"19th century; Exhibitions; 20th century; Biography; United States; Artists; Art, American",,,2001,,,136,
2CZ8P5I5,Ed Ruscha: New Paintings and a retrospective of works on paper,Books,"Wakefield, Neville and Dave Hickey",0-947564-74-8,,1998,Anthony d'Offay,,ARTIST - R,,0,,,1998,,,,
PZNCELXL,Bodylines: The Human Figure in Art,Books,"Woolf, Felicity and Cassin",0-947645-19-5,,1987,"National Gallery, London",,GENERAL APPRECIATION/CRITICISM,,0,,,1987,,,,
FQ6WJ7HM,David Salle,Books,"Rosenblum, Robert",0-9545441-1-0,,2003,Waddington Galleries,,ARTIST - S,,0,,,2003,,,,
W5Y3HKHX,Josef Albers: Small Paintings,Books,0,0-9545441-8-8,,2004,Waddington Galleries,,ARTIST-A,,0,,,2004,,,,
GDY37SPM,Masters of the modern tradition: selections from the collection of Samuel J. and Ethel LeFrak,Books,"Kelder, Diane; LeFrak, Ethel; LeFrak, Samuel J.",0-9620593-0-7,,1988,LeFrak Organization,,MODERN,New York?,"19th century; 20th century; Art, Modern; Art; Art collections; Private collections; Catalogs; New York (State) New York; Art, French; LeFrak, Ethel; LeFrak, Samuel J",,,1988,,,94,
ZWTULYL9,"Mattress Factory--installation and performance, 1982-1989",Books,0,0-9623290-0-2,,1991,The Factory,,CATALOGUE,"Pittsburgh, Pa","20th century; United States; Art; Catalogs; Installations (Art); Pennsylvania Pittsburgh; Performance art; Art, American; Mattress Factory",,1st ed,1991,,,223,
Y6WUHBHH,Pittsburgh: an American city,Books,"Urbina, Walt; Webb, Sally",0-9627857-0-9,,1990,Urbina Pub. : Distributed exclusively by Central Wholesale,,GENERAL CMoA/PGH,"Pittsburgh, PA",Pictorial works; Pittsburgh (Pa.),,,1990,,,96,
RYAUIEGC,Josiah McElheny,Books,"Hickey, Dave; Gross, Jennifer R.; McElheny, Josiah; Isabella Stewart Gardner Museum",0-9648475-9-0,,1998,Isabella Stewart Gardner Museum,,ARTIST - M,Boston,"Exhibitions; 20th century; United States; Glass art; History Exhibitions; McElheny, Josiah",,,1998,,,65,
K53F65DB,The World of Stereographs,Books,"Darrah, William C.",0-9650513-1-5,,1997,Land Yacht Press,,PHOTOGRAPHY,,0,,,1997,,,,
G58EH3TG,Contemporary lampworking: a practical guide to shaping glass in the flame,Books,"Dunham, Bandhu Scott",0-9658972-1-4,,2002,Salusa Glassworks,,GENERAL METHODS/TECHNIQUES,"Prescott, Ariz",Glass blowing and working,,3rd ed,2002,,,2,
RNBWVLUW,Contemporary lampworking: a practical guide to shaping glass in the flame,Books,"Dunham, Bandhu Scott",0-9658972-1-4,,2002,Salusa Glassworks,,GENERAL METHODS/TECHNIQUES,"Prescott, Ariz",Glass blowing and working,,3rd ed,2002,,,2,
PSNVXWJU,"A. James Speyer: architect, curator, exhibition designer",Books,0,0-9660273-0-2,,1997,publisher not identified,,ARCHITECTURE,Chicago?,"Exhibitions; Criticism and interpretation; Exhibition catalogs; Expositions; 1998; Chicago; Criticism, interpretation, etc; Speyer, A. James",,First edition,1997,,,124,
NR5LNBDX,Arp: Line and Form,Books,0,0-9660769-6-6,,2000,Mitchell-Innes & Nash,,ARTIST-A,,0,,,2000,,,,
IFM3AHCM,Pittsburgh: the story of an American city,Books,"Lorant, Stefan; Commager, Henry Steele",0-9674103-0-4,,1999,Esselmont Books,,GENERAL CMoA/PGH,"Pittsburgh, Pa",History; Pictorial works; Pittsburgh (Pa.),,"5th ed., updated and enlarged, Millennium ed",1999,,,776,
573VKAV9,Joan Mitchell: Fremicourt Paintings 1960-62,Books,"Kertess, Klaus",0-9753317-5-2,,2005,Cheim & Read,,ARTIST - M,,0,,,2005,,,,
QV3UCA63,"The Orientalists: Western Artists in Arabia, the Sahara, Persia & India",Books,"Davies, Kristian",0-9759783-0-6,,2005,Laynfaroh,,GENERAL HISTORY,,0,,,2005,,,,
Z4S94LSY,Modern masters: American abstraction at midcentury,Books,0,0-9790678-2-0,,2008,Smithsonian American Art Museum ; In association with D. Giles Ltd. ; Distributed in USA and Canada by Antique Collectors' Club],,MODERN,"Washington, DC : London : [Easthampton, MA","Exhibitions; 20th century; United States; Art; Washington (D.C.); Art, Abstract; Art, American; Smithsonian American Art Museum",,,2008,,,255,
TTK3DSIU,Furniture of the American Arts and Crafts Movement: Stickley and Roycroft Mission Oak,Books,"Cathers, David M.",45303974,,1981,New American Library,,DECORATIVE ARTS,,0,,,1981,,,,
852K4FNB,The History of Porcelain,Books,"Atterbury, Paul",68801402,,1982,Orbis Publishing Limited,,DECORATIVE ARTS,,0,,,1982,,,,
DNRZ9V4W,Essays on Italian Sculpture,Books,"Pope-Hennessy, John",714813272,,1968,Phaidon Press,,RENAISSANCE,,0,,,1968,,,,
Q5JJPA9V,Constructive concepts: a history of constructive art from cubism to the present,Books,"Rotzler, Willy; McCrory Corporation",847801480,,1977,Rizzoli,,MODERN,New York,"20th century; Art, Modern; Art; New York (State) New York; Art collections Catalogs; Private collections Catalogs; Constructivism (Art); McCrory Corporation",,,1977,,,299,
3FMNXIEV,The history of impressionism,Books,"Rewald, John",870703606,,1973,Museum of Modern Art ; distributed by New York Graphic Society,,IMPRESSIONISM-R,"New York : Greenwich, Conn","19th century; Art, Modern; Impressionism (Art)",,"4th, rev. ed",1973,,,672,
LZMPQWFY,Carnegie International 1995,Books,"Armstrong, Richard",88039028,,1995,Carnegie Museum of Art,,CI CATALOG,,0,,,1995,,,,
BIA89ASQ,International Encounters: The Carnegie International and Contemporary Art 1896-1996,Books,0,88039336,,1996,Carnegie Museum of Art,,CI CATALOG,,0,,,1996,,,,
5LR6533H,"Points of Departure: Origins in Video: Peter Campus, Beryl Korot, Bruce Nauman, William Wegman",Books,"Kain, Jacqueline and Judson",91636531,,1990,Carnegie Museum of Art,,PHOTOGRAPHY - VIDEO,,0,,,1990,,,,
ZSDJ4PD3,Philip Pearlstein: The Complete Paintings,Books,"Bowman, Russell",93351669,,1983,"Alpine Fine Arts Collection, Ltd",,ARTIST - P,,0,,,1983,,,,
RVERVF49,"Classical Ingenuity: The Legacy of Greek and Roman Architects, Artists, and Inventors",Books,"Baker III, Charles F. and Rosalie F. Baker",942389070,,1993,"Cobblestone Publishing, Inc",,ANCIENT,,0,,,1993,,,,
I8JALRQC,Unearthing joy: a guide to culturally and historically responsive teaching and learning,Books,"Muhammad, Gholdy; Williams, Pharrell",1-338-85660-X,,2023,Scholastic Inc,,DOCENT/MUSEUM EDUCATION,"New York, NY",United States; Philosophy; États-Unis; African American students; Teaching; Culturally relevant pedagogy; Curriculum planning; Education; Éducation interculturelle; Joy; Mental health; Multicultural education; Pédagogie culturellement adaptée; Social,,,2023,,,224,
432LUC3J,Discovering America: journeys in search of the new world,Books,"Jacobson, Timothy C.",1-55013-211-3,,1991,Key Porter Books,,AMERICAN,"Toronto, Ont",North America; Description and travel; Discovery and exploration,,,1991,,,154,
YWKIMR44,Impressionism: selections from five American museums,Books,"Gerstein, Marc Saul; Carnegie Museum of Art",1-55595-030-2,,1989,Hudson Hills Press : Rizzoli International Publications [distributor],,IMPRESSIONISM-G,New York,"19th century; Art museums; Exhibitions; France; Impressionism (Art); Middle West; Painting, French; Post-impressionism (Art)",,1st ed,1989,,,202,
REK8GZD2,American paintings and sculpture to 1945 in the Carnegie Museum of Art,Books,"Strazdes, Diana J.; Carnegie Museum of Art",1-55595-055-8,,1992,Hudson Hills Press in association with the Museum : Distributed by National Book Network,,NON-CIRCULATING REFERENCE,New York,"Art; Catalogs; Pennsylvania Pittsburgh; Art, American; Carnegie Museum of Art",,1st ed,1992,,,511,
37ST3N7F,"Glorious nature: British landscape painting, 1750-1850",Books,"Baetjer, Katharine; Rosenthal, Michael; Denver Art Museum",1-55595-092-2,,1993,Hudson Hills Press ; Distributed in the U.S. by National Book Network,,EUROPEAN - BRITISH ISLES,"New York : Lanham, Md","19th century; Exhibitions; 18th century; Landscape painting, British",,1st ed,1993,,,271,
Q7NICLTB,Made in America: ten centuries of American art,Books,0,1-55595-110-4,,1995,Hudson Hills Press ; National Book Network [distributor],,AMERICAN,"New York : [Lanham, Md.]","Exhibitions; Art, American",,1st ed,1995,,,192,
GF2R5FE2,Dante Marioni: blown glass,Books,"Oldknow, Tina; Johnson, Russell; Marioni, Dante; Schreiber, Roger",1-55595-204-6,,2000,Distributed by Hudson Hills Press,,Artist M,New York,"History; 20th century; United States; Catalogs; Blown glass; Glass art; Marioni, Dante",,,2000,,,156,
M4256JTF,Abstract expressionism and the American experience: a reevaluation,Books,"Sandler, Irving",1-55595-311-5,,2009,Hard Press Editions ; School of Visual Arts ; In association with Hudson Hills Press : [Distributed in the United States by National Book Network],,MODERN,"Lenox [ Mass.] : New York : Manchester, VT","20th century; Painting, American; United States; Abstract expressionism",Mission critical series,,2009,,,240,
UHJHNRJ7,Interpreting Bonnard: Color and Light,Books,"Watkins, Nicholas",1-55670-727-4,,1997,"Stewart, Tabori & Chang, New York",,ARTIST-B,,0,,,1997,,,,
9FD3QUKT,Burne-Jones: The Life and Works of Sir Edward Burne-Jones (1833-1898),Books,"Wood, Christopher",1-55670-819-X,,1998,"Stewart, Tabori & Chang, New York",,ARTIST-B,,0,,,1998,,,,
LQCBZZFA,The art and history of frames: an inquiry into the enhancement of paintings,Books,"Heydenryk, Henry",1-55821-265-5,,1993,Lyons & Burford,,GENERAL METHODS/TECHNIQUES,New York,Picture frames and framing,,,1993,,,119,
A2SNIC55,"Artspeak: a guide to contemporary ideas, movements, and buzzwords",Books,"Atkins, Robert",1-55859-010-2,,1990,Abbeville Press Publishers,,MODERN,New York,"20th century; Art, Modern; Dictionaries",,1st ed,1990,,,176,
8PPZJHGY,Audubon's birds of America,Books,"Audubon, John James; Peterson, Roger Tory; Peterson, Virginia Marie",1-55859-128-1,,1990,Abbeville Press,,ARTIST - A OVERSIZE,New York,Biography; United States; Artists; Birds; North America; Ornithologists,,Abbeville ed.,1990,,,200,
WIUY5MB3,"Artspoke: a guide to modern ideas, movements, and buzzwords, 1848-1944",Books,"Atkins, Robert",1-55859-388-8,,1993,Abbeville Press,,MODERN,New York,"19th century; 20th century; Art, Modern; Dictionaries",,1st ed,1993,,,224,
9CW3FMWC,Franz Kline: Cincinnati Art Museum,Books,"Gaugh, Harry F.; Cincinnati Art Museum",1-55859-770-0,,1996,Abbeville Press,,Artist K,New York,"Biography; Painters; United States; Abstract expressionism; Kline, Franz",,1st ed,1996,,,189,
AIDL3FWU,Criticizing art: understanding the contemporary,Books,"Barrett, Terry",1-55934-147-5,,1994,Mayfield Pub. Co,,GENERAL APPRECIATION/CRITICISM,"Mountain View, Calif","History; 20th century; United States; Art criticism; Art, American",,,1994,,,200,
SX6W34X2,"New currents, ancient rivers: contemporary African artists in a generation of change",Books,"Kennedy, Jean",1-56098-037-0,,1992,Smithsonian Institution Press,,AFRICAN,Washington,"20th century; Artists; Africa, Sub-Saharan; Art, African; Biography History and criticism",,,1992,,,204,
4USNXBJG,Thomas Moran and the surveying of the American West,Books,"Kinsey, Joni",1-56098-170-9,,1992,Smithsonian Institution Press,,ARTIST - M,Washington,"In art; Criticism and interpretation; Moran, Thomas; West (U.S.)",New directions in American art,,1992,,,237,
TFTZDZNQ,The Yoruba artist: new theoretical perspectives on African arts,Books,0,1-56098-339-6,,1994,Smithsonian Institution Press,,AFRICAN,Washington,"Arts, Black; Nigeria; Arts, Yoruba; Benin; Congresses",,,1994,,,275,
HVY5C2EC,The art of Benin,Books,"Ben-Amos, Paula",1-56098-610-7,,1995,Smithsonian Institution Press,,AFRICAN,"Washington, D.C","Art; Art, Bini; Nigeria Benin; Rites and ceremonies",,Rev. ed,1995,,,128,
MLE97827,Smithsonian timelines of the ancient world,Books,0,1-56458-305-8,,1993,Smithsonian Institution ; D. Kindersley,,ANCIENT,"[Washington, D.C.] : New York","Pictorial works; Chronology; History, Ancient; Middle Ages",,1st American ed,1993,,,256,
CZG3H3TX,Hiroshige in Tokyo: the floating world of Edo,Books,"Bicknell, Julian",1-56640-803-2,,1994,Pomegranate Artbooks,,JAPANESE,"Rohnert Park, Calif","Ukiyoe; Andō, Hiroshige; Tokyo (Japan) in art",Painters & places,,1994,,,157,
R9ZKCBNK,Frank Lloyd Wright's Martin House: architecture as portraiture,Books,"Quinan, Jack",1-56898-419-7,,2004,Princeton Architectural Press,,ARCHITECTURE,New York,"Criticism and interpretation; Wright, Frank Lloyd; Buildings, structures, etc; New York (State) Buffalo; Buffalo (N.Y.); Darwin D. Martin House (Buffalo, N.Y.); Prairie school (Architecture)",,1st ed,2004,,,247,
IXZSYPTI,The industrial design reader,Books,0,1-58115-310-4,,2003,Allworth Press,,DECORATIVE ARTS,New York,History; Industrial design,,,2003,,,243,
IDEECYYJ,Lydia Cassatt reading the morning paper,Books,"Chessman, Harriet Scott",1-58322-272-3,,2001,Permanent Press and Seven Stories Press,,ARTIST-C,New York,"Artists' models; Biographical fiction; Bright's disease; Cassatt, Lydia; Cassatt, Mary; Fiction; Patients; Sisters; Women painters",,Permanent Press/Seven Stories Press 1st ed,2001,,,164,
EMBEJB3U,Power and pathos: bronze sculpture of the Hellenistic world,Books,0,1-60606-439-8,,2015,The J. Paul Getty Museum,,ANCIENT,Los Angeles,"Exhibitions; Expertising; Bronze sculpture; Bronze sculpture, Hellenistic; Portrait sculpture, Hellenistic",,,2015,,,367,
7ZLLMSF3,Visual thinking strategies: using art to deepen learning across school disciplines,Books,"Yenawine, Philip",1-61250-609-7,,2013,Harvard Education Press,,NON-CIRCULATING REFERENCE,"Cambridge, Massachusetts",Art appreciation; Critical thinking; Meaning (Psychology); Metacognition in children; Study and teaching (Elementary); Visualization,,,2013,,,198,
BI8DK498,Give me tomorrow,Books,"Katz, Alex; Clark, Martin; Gingeras, Alison M.; Higgs, Matthew; Martin, Sarah; Tate Gallery St Ives;",1-84976-040-3,,2012,Tate St. Ives ; Turner Contemporary,,Artist K,London : Margate,"Exhibitions; Interviews; Katz, Alex",,,2012,,,122,
TY6B2ENW,How to look at art,Books,"Hodge, Susie",1-84976-223-6,,2014,Tate Publishing,,GENERAL APPRECIATION/CRITICISM,London,History; Art; Art appreciation,,,2014,,,128,
PJ5LW9ZQ,Pierre Bonnard: the colour of memory: the CC Land exhibition,Books,0,1-84976-616-9,,2019,Tate,,ARTIST-B,"London, England","19th century; 20th century; Bonnard, Pierre; Criticism and interpretation; Exhibitions; France; Nabis (Group of artists); Painting, French; Post-impressionism (Art); Themes, motives",,,2019,,,240,
LQLWCEGA,"The British portrait, 1660-1960",Books,0,1-85149-107-4,,1991,Antique Collectors' Club,,EUROPEAN - BRITISH ISLES,"Woodbridge, Suffolk","Catalogs; Great Britain; Biography History and criticism; Portrait painting, British; Biography Portraits; Conversation piece (Portrait painting); Portrait painters",,,1991,,,443,
FZUVWS6G,The making of sculpture: the materials and techniques of European sculpture,Books,0,1-85177-507-2,,2007,V&A Publications,,Sculpture,London,"Technique; Sculpture; Sculpture, European; Sculpture materials",,,2007,,,192,
IDKKZ8M2,"Magritte: The Hayward Gallery , the South Bank Centre, London, 21 May-2 August 1992 ... [et al.]",Books,"Whitfield, Sarah; Magritte, René; Hayward Gallery",1-85332-087-0,,1992,South Bank Centre,,Artist M,London,"Exhibitions; Magritte, René",,,1992,,,320,
X7C59SY9,Looking at paintings,Books,"Kennet, Frances; Measham, Terry",1-85435-101-X,,1989,M. Cavendish,,K-12,London ; New York,Visual perception; Painting; Juvenile literature; Art appreciation,Exploring the arts,,1989,,,48,
BZXFLTSY,"On classic ground: Picasso, Léger, de Chirico, and the new classicism, 1910-1930",Books,"Cowling, Elizabeth; Mundy, Jennifer; Tate Gallery",1-85437-043-X,,1990,Tate Gallery,,MODERN,London,"Exhibitions; 20th century; Europe; Art, European; Neoclassicism (Art)",,,1990,,,264,
EEJ8MP2A,Original Eyes: Progressive Vision in British Watercolour 1750-1850,Books,"Brown, David Blayney",1-85437-077-4,,,Tate Gallery,,EUROPEAN - BRITISH ISLES,,0,,,,,,,
VGYJ82WX,Somewhere else,Books,"Doherty, Willie; Tate Gallery Liverpool",1-85437-278-5,,1998,Tate Gallery Pub,,ARTIST - D,London,"Doherty, Willie; Exhibitions; Photography, Artistic",,,1998,,,63,
FHHKQRNK,Concise Dictionary of Art and Literature,Books,Edwin and Fiona. Oore,1-85501-325-8,,1993,Tiger Books,,General Reference,London,0,,,1993,,,,
